"date","density","avg"
"28/01/2020","HD",0.862594758923331
"28/02/2020","HD",7.1243629636386
"28/03/2020","HD",147.972523586847
"29/01/2020","HD",1.15036654256657
"29/02/2020","HD",7.60895583521154
"29/03/2020","HD",163.304571792521
"3/02/2020","HD",2.22137295155551
"3/03/2020","HD",5.96639835527562
"3/04/2020","HD",227.452408851684
"30/01/2020","HD",1.04999282229066
"30/03/2020","HD",177.059490983798
"31/01/2020","HD",1.29239302907801
"31/03/2020","HD",189.831027941098
"4/02/2020","HD",2.60826296852458
"4/03/2020","HD",6.55061296901591
"4/04/2020","HD",243.870865265836
"5/02/2020","HD",3.08841818704467
"5/03/2020","HD",6.27675879626363
"5/04/2020","HD",258.237704154735
"6/02/2020","HD",3.53083464010209
"6/03/2020","HD",7.30095983980366
"6/04/2020","HD",270.675551569129
"7/02/2020","HD",3.91067018366909
"7/03/2020","HD",7.71875709382112
"7/04/2020","HD",277.874743692618
"8/02/2020","HD",4.36740369228364
"8/03/2020","HD",8.47596054906382
"8/04/2020","HD",292.50921355298
"9/01/2020","HD",0.0144033020203627
"9/02/2020","HD",4.69732772637308
"9/03/2020","HD",9.67669781833583
"9/04/2020","HD",307.579778570843
"1/02/2020","LD",0.130507271545976
"1/03/2020","LD",0.701642432509348
"1/04/2020","LD",85.7826679114432
"10/02/2020","LD",0.186578296542032
"10/03/2020","LD",4.90548197964669
"10/04/2020","LD",165.507880219342
"11/02/2020","LD",0.187088468085652
"11/03/2020","LD",5.87807609324939
"11/04/2020","LD",175.135691803095
"12/02/2020","LD",0.187088468085652
"12/03/2020","LD",6.81077052974894
"12/04/2020","LD",184.261814693336
"13/02/2020","LD",0.187598639629273
"13/03/2020","LD",9.36425885038687
"14/02/2020","LD",0.188108811172893
"14/03/2020","LD",13.9372585758711
"15/02/2020","LD",0.188108811172893
"15/03/2020","LD",14.4559574848266
"16/02/2020","LD",0.188108811172893
"16/03/2020","LD",18.6196260874506
"17/02/2020","LD",0.188108811172893
"17/03/2020","LD",19.6657440326023
"18/02/2020","LD",0.192606294134066
"18/03/2020","LD",23.7026980831646
"19/02/2020","LD",0.192606294134066
"19/03/2020","LD",24.2587521566279
"2/02/2020","LD",0.151031302286813
"2/03/2020","LD",0.839691018942507
"2/04/2020","LD",93.8266823807531
"20/02/2020","LD",0.192606294134066
"20/03/2020","LD",25.271126413382
"21/01/2020","LD",0.0030610292617225
"21/02/2020","LD",0.205948866932211
"21/03/2020","LD",27.6277199517144
"22/01/2020","LD",0.0030610292617225
"22/02/2020","LD",0.242837443400908
"22/03/2020","LD",29.0603899571593
"23/01/2020","LD",0.0030610292617225
"23/02/2020","LD",0.254006212761154
"23/03/2020","LD",33.3968839343208
"24/01/2020","LD",0.0030610292617225
"24/02/2020","LD",0.254006212761154
"24/03/2020","LD",37.8735010071176
"25/01/2020","LD",0.00612205852344501
"25/02/2020","LD",0.288606243349289
"25/03/2020","LD",41.0962541827088
"26/01/2020","LD",0.0631026068533732
"26/02/2020","LD",0.312259394204535
"26/03/2020","LD",47.2948194499058
"27/01/2020","LD",0.0674669725511293
"27/02/2020","LD",0.342953039237269
"27/03/2020","LD",53.3552484580112
"28/01/2020","LD",0.0898045112716206
"28/02/2020","LD",0.454111120684174
"28/03/2020","LD",60.8299828832432
"29/01/2020","LD",0.0987994771939673
"29/02/2020","LD",0.537283423514839
"29/03/2020","LD",68.4876635560992
"3/02/2020","LD",0.152561816917674
"3/03/2020","LD",0.914597254613542
"3/04/2020","LD",102.563767098963
"30/01/2020","LD",0.139440067914917
"30/03/2020","LD",74.3715686901518
"31/01/2020","LD",0.160219184427564
"31/03/2020","LD",80.5814184082519
"4/02/2020","LD",0.152561816917674
"4/03/2020","LD",1.09282693269764
"4/04/2020","LD",112.435183306806
"5/02/2020","LD",0.16373058627792
"5/03/2020","LD",1.54640756782696
"5/04/2020","LD",121.58634422791
"6/02/2020","LD",0.170912044220613
"6/03/2020","LD",2.23791093468912
"6/04/2020","LD",129.705177826392
"7/02/2020","LD",0.186578296542032
"7/03/2020","LD",3.31069797340774
"7/04/2020","LD",138.068486535231
"8/02/2020","LD",0.186578296542032
"8/03/2020","LD",3.87816457797839
"8/04/2020","LD",146.25797715412
"9/02/2020","LD",0.186578296542032
"9/03/2020","LD",4.35002754717012
"9/04/2020","LD",155.715760039058
"1/02/2020","MD",0.112215441514461
"1/03/2020","MD",0.848267253013104
"1/04/2020","MD",123.654873882992
"10/02/2020","MD",0.225062640589887
"10/03/2020","MD",5.15536667243773
"10/04/2020","MD",227.092597627498
"11/02/2020","MD",0.225062640589887
"11/03/2020","MD",6.23830995258239
"11/04/2020","MD",237.748236212292
"12/02/2020","MD",0.225062640589887
"12/03/2020","MD",7.66183931697823
"12/04/2020","MD",250.92903265747
"13/02/2020","MD",0.225062640589887
"13/03/2020","MD",8.98569979747087
"14/02/2020","MD",0.235635057123434
"14/03/2020","MD",11.2504459318586
"15/02/2020","MD",0.256779890190527
"15/03/2020","MD",14.621970248153
"16/02/2020","MD",0.267352306724074
"16/03/2020","MD",18.2487791817855
"17/02/2020","MD",0.267352306724074
"17/03/2020","MD",18.8884562958479
"18/02/2020","MD",0.267352306724074
"18/03/2020","MD",21.7974676508961
"19/02/2020","MD",0.267352306724074
"19/03/2020","MD",24.6039287473557
"2/02/2020","MD",0.112215441514461
"2/03/2020","MD",1.17696722427094
"2/04/2020","MD",133.854716455249
"20/02/2020","MD",0.206626679379866
"20/03/2020","MD",28.8795582047167
"21/02/2020","MD",0.215795353385083
"21/03/2020","MD",33.0420692200941
"22/02/2020","MD",0.255526274074353
"22/03/2020","MD",38.1082952879843
"23/02/2020","MD",0.286088520758408
"23/03/2020","MD",43.0211973762466
"24/02/2020","MD",0.331931890784489
"24/03/2020","MD",47.9514681224517
"25/02/2020","MD",0.266782721544149
"25/03/2020","MD",56.0222693904256
"26/01/2020","MD",0.0951517488019205
"26/02/2020","MD",0.372810580742079
"26/03/2020","MD",66.380450694098
"27/01/2020","MD",0.126868998402561
"27/02/2020","MD",0.41357648021778
"27/03/2020","MD",76.2880462666239
"28/01/2020","MD",0.0942041124604729
"28/02/2020","MD",0.525902941420661
"28/03/2020","MD",85.9417610197246
"29/01/2020","MD",0.0942041124604729
"29/02/2020","MD",0.688335230168719
"29/03/2020","MD",95.9393569316542
"3/02/2020","MD",0.112215441514461
"3/03/2020","MD",1.46078279044621
"3/04/2020","MD",146.35397418868
"30/01/2020","MD",0.141779986861433
"30/03/2020","MD",104.799982131347
"31/01/2020","MD",0.157638611661753
"31/03/2020","MD",112.938840284249
"4/02/2020","MD",0.133360274581554
"4/03/2020","MD",1.98439150289924
"4/04/2020","MD",158.598056621106
"5/02/2020","MD",0.133360274581554
"5/03/2020","MD",2.46803385088952
"5/04/2020","MD",170.794137270434
"6/02/2020","MD",0.154505107648648
"6/03/2020","MD",2.73850306960878
"6/04/2020","MD",181.295678736865
"7/02/2020","MD",0.175649940715741
"7/03/2020","MD",3.46409322430998
"7/04/2020","MD",191.208777247199
"8/02/2020","MD",0.186222357249288
"8/03/2020","MD",4.09528229414361
"8/04/2020","MD",201.676051798018
"9/02/2020","MD",0.207367190316382
"9/03/2020","MD",4.65367330302897
"9/04/2020","MD",212.684748879498
