"date","age","avg"
"28/01/2020","Old",0.537385632827875
"28/02/2020","Old",4.36403732689991
"28/03/2020","Old",254.290503573376
"29/01/2020","Old",0.623502375216716
"29/02/2020","Old",5.18903194471334
"29/03/2020","Old",284.170222898595
"3/02/2020","Old",1.01082773930201
"3/03/2020","Old",6.90892770901758
"3/04/2020","Old",430.568444728519
"30/01/2020","Old",0.65325443258355
"30/03/2020","Old",311.998584187836
"31/01/2020","Old",0.810881674075015
"31/03/2020","Old",335.434056247341
"4/02/2020","Old",1.17974496970799
"4/03/2020","Old",7.16176107025681
"4/04/2020","Old",465.093849009585
"5/02/2020","Old",1.30603949065195
"5/03/2020","Old",7.80717387376854
"5/04/2020","Old",497.476398198838
"6/02/2020","Old",1.49233777307532
"6/03/2020","Old",8.89864204986837
"6/04/2020","Old",525.750145681837
"7/02/2020","Old",1.6536375451431
"7/03/2020","Old",10.3497449381772
"7/04/2020","Old",551.025958310266
"8/02/2020","Old",1.82329083160044
"8/03/2020","Old",11.3455624772073
"8/04/2020","Old",581.707348711273
"9/01/2020","Old",0.0144033020203627
"9/02/2020","Old",1.95913591605021
"9/03/2020","Old",13.0526921231158
"9/04/2020","Old",611.09666994956
"1/02/2020","Yng",0.0355060262028186
"1/03/2020","Yng",0.196322371639584
"1/04/2020","Yng",5.90469044684571
"10/02/2020","Yng",0.0417568902675718
"10/03/2020","Yng",0.510887363423416
"10/04/2020","Yng",14.7846173987399
"11/02/2020","Yng",0.0417568902675718
"11/03/2020","Yng",0.444112841525269
"11/04/2020","Yng",15.4913083215952
"12/02/2020","Yng",0.0417568902675718
"12/03/2020","Yng",0.434047357464155
"12/04/2020","Yng",16.9596949008557
"13/02/2020","Yng",0.0417568902675718
"13/03/2020","Yng",0.519032701577973
"14/02/2020","Yng",0.0417568902675718
"14/03/2020","Yng",0.55201793530898
"15/02/2020","Yng",0.0338577090393437
"15/03/2020","Yng",0.621220320110913
"16/02/2020","Yng",0.0338577090393437
"16/03/2020","Yng",0.836966885119817
"17/02/2020","Yng",0.0338577090393437
"17/03/2020","Yng",0.905582874810017
"18/02/2020","Yng",0.0338577090393437
"18/03/2020","Yng",1.18968601857855
"19/02/2020","Yng",0.0338577090393437
"19/03/2020","Yng",1.23642241743893
"2/02/2020","Yng",0.0386314582351952
"2/03/2020","Yng",0.214797212320581
"2/04/2020","Yng",6.64386511488794
"20/02/2020","Yng",0.0338577090393437
"20/03/2020","Yng",1.35199726439529
"21/02/2020","Yng",0.0338577090393437
"21/03/2020","Yng",1.4316654620124
"22/02/2020","Yng",0.0338577090393437
"22/03/2020","Yng",1.54241161994341
"23/02/2020","Yng",0.0338577090393437
"23/03/2020","Yng",1.82352988525341
"24/01/2020","Yng",0.0356025559929409
"24/02/2020","Yng",0.0338577090393437
"24/03/2020","Yng",2.19831153646317
"25/01/2020","Yng",0.0356025559929409
"25/02/2020","Yng",0.0860677755084529
"25/03/2020","Yng",2.55137141568663
"26/01/2020","Yng",0.0356025559929409
"26/02/2020","Yng",0.160096147353634
"26/03/2020","Yng",2.93676710106127
"27/01/2020","Yng",0.0356025559929409
"27/02/2020","Yng",0.144514541845955
"27/03/2020","Yng",3.28267033726797
"28/01/2020","Yng",0.048570891255663
"28/02/2020","Yng",0.177929282313198
"28/03/2020","Yng",3.82554671320953
"29/01/2020","Yng",0.048570891255663
"29/02/2020","Yng",0.180820271216426
"29/03/2020","Yng",4.26604960170004
"3/02/2020","Yng",0.0386314582351952
"3/03/2020","Yng",0.207594125385554
"3/04/2020","Yng",7.4192895181695
"30/01/2020","Yng",0.048570891255663
"30/03/2020","Yng",4.71429049402878
"31/01/2020","Yng",0.0355060262028186
"31/03/2020","Yng",5.46231820398382
"4/02/2020","Yng",0.0386314582351952
"4/03/2020","Yng",0.332363535189683
"4/04/2020","Yng",8.02139112496709
"5/02/2020","Yng",0.0417568902675718
"5/03/2020","Yng",0.417863662563576
"5/04/2020","Yng",8.94584720835565
"6/02/2020","Yng",0.0417568902675718
"6/03/2020","Yng",0.406010961218875
"6/04/2020","Yng",9.76556256860862
"7/02/2020","Yng",0.0417568902675718
"7/03/2020","Yng",0.403592076232959
"7/04/2020","Yng",11.339775105145
"8/02/2020","Yng",0.0417568902675718
"8/03/2020","Yng",0.47043954042402
"8/04/2020","Yng",12.6949752572108
"9/02/2020","Yng",0.0417568902675718
"9/03/2020","Yng",0.457775978423596
"9/04/2020","Yng",13.7897381851076
