"date","life","avg"
"1/02/2020","H",0.34567718127129
"1/03/2020","H",5.54550324510459
"1/04/2020","H",399.746985625934
"10/02/2020","H",0.753905930642383
"10/03/2020","H",16.8572881642246
"10/04/2020","H",714.570740589574
"11/02/2020","H",0.792559478070629
"11/03/2020","H",20.4667710515569
"11/04/2020","H",755.701945609099
"12/02/2020","H",0.819617832623021
"12/03/2020","H",27.6099876506964
"12/04/2020","H",791.487363230447
"13/02/2020","H",0.858914074542988
"13/03/2020","H",31.7366240378047
"14/02/2020","H",0.960473632042876
"14/03/2020","H",40.5112371130941
"15/02/2020","H",1.07448215866458
"15/03/2020","H",47.662184482459
"16/02/2020","H",1.14027078820618
"16/03/2020","H",58.1752473021488
"17/02/2020","H",1.18707428569437
"17/03/2020","H",65.1825697395884
"18/02/2020","H",1.21572110324945
"18/03/2020","H",74.9857617924825
"19/02/2020","H",1.29407349391143
"19/03/2020","H",81.6545330261386
"2/02/2020","H",0.397311065842225
"2/03/2020","H",6.34210622168138
"2/04/2020","H",434.046703071495
"20/01/2020","H",0.01937735406997
"20/02/2020","H",1.4054334622407
"20/03/2020","H",93.5788077862194
"21/01/2020","H",0.0112191916658463
"21/02/2020","H",1.56222899372305
"21/03/2020","H",110.518446301583
"22/01/2020","H",0.0112191916658463
"22/02/2020","H",1.59918870558693
"22/03/2020","H",126.411179615491
"23/01/2020","H",0.0112191916658463
"23/02/2020","H",2.02895062584987
"23/03/2020","H",144.622256212783
"24/01/2020","H",0.0665949934329273
"24/02/2020","H",2.27734787952249
"24/03/2020","H",166.731080282262
"25/01/2020","H",0.155426995398888
"25/02/2020","H",2.67808874063262
"25/03/2020","H",188.983640171127
"26/01/2020","H",0.148358227355771
"26/02/2020","H",3.40440602438438
"26/03/2020","H",215.131910388347
"27/01/2020","H",0.169118465293759
"27/02/2020","H",3.59962577855614
"27/03/2020","H",244.761549993395
"28/01/2020","H",0.213074559826848
"28/02/2020","H",4.07061616655835
"28/03/2020","H",277.479353724885
"29/01/2020","H",0.246186209276843
"29/02/2020","H",5.09349822140309
"29/03/2020","H",309.550973368097
"3/02/2020","H",0.399873131810262
"3/03/2020","H",7.1000522023607
"3/04/2020","H",469.413506521364
"30/01/2020","H",0.296513303314689
"30/03/2020","H",339.068454845317
"31/01/2020","H",0.364890494759263
"31/03/2020","H",366.076525615046
"4/02/2020","H",0.403219372107899
"4/03/2020","H",7.44854083582062
"4/04/2020","H",508.122413001596
"5/02/2020","H",0.464225920853728
"5/03/2020","H",8.33473637901612
"5/04/2020","H",543.656532210001
"6/02/2020","H",0.524894628416183
"6/03/2020","H",9.80673928284716
"6/04/2020","H",576.606377026571
"7/02/2020","H",0.561446545733111
"7/03/2020","H",11.535995694122
"7/04/2020","H",606.206731710497
"8/02/2020","H",0.615144068270808
"8/03/2020","H",12.7993466108056
"8/04/2020","H",641.721582125575
"9/02/2020","H",0.713301969296835
"9/03/2020","H",14.8849396091897
"9/04/2020","H",674.635671320205
"1/02/2020","L",0.0311392669592078
"1/03/2020","L",0.0229225896879011
"1/04/2020","L",4.15208962316848
"10/02/2020","L",0.0318785743592384
"10/03/2020","L",0.124377503764659
"10/04/2020","L",11.4734991132605
"11/02/2020","L",0.0318785743592384
"11/03/2020","L",0.119191354588682
"11/04/2020","L",11.8566200173424
"12/02/2020","L",0.0318785743592384
"12/03/2020","L",0.129113946490218
"12/04/2020","L",13.083024078703
"13/02/2020","L",0.0318785743592384
"13/03/2020","L",0.252741076832342
"14/02/2020","L",0.0318785743592384
"14/03/2020","L",0.216125849122219
"15/02/2020","L",0.0318785743592384
"15/03/2020","L",0.339088969599092
"16/02/2020","L",0.0318785743592384
"16/03/2020","L",0.528627529607601
"17/02/2020","L",0.0318785743592384
"17/03/2020","L",0.623029853422161
"18/02/2020","L",0.0318785743592384
"18/03/2020","L",0.751116657935849
"19/02/2020","L",0.0318785743592384
"19/03/2020","L",0.865261104975862
"2/02/2020","L",0.0311392669592078
"2/03/2020","L",0.0229225896879011
"2/04/2020","L",4.75855498157172
"20/02/2020","L",0.0318785743592384
"20/03/2020","L",0.954444338437214
"21/02/2020","L",0.0318785743592384
"21/03/2020","L",0.948728587276848
"22/02/2020","L",0.0318785743592384
"22/03/2020","L",1.0682237230247
"23/02/2020","L",0.0318785743592384
"23/03/2020","L",1.31161830115713
"24/02/2020","L",0.0318785743592384
"24/03/2020","L",1.56681470094396
"25/02/2020","L",0.0302196128637229
