"date","health","avg"
"1/02/2020","H",0.102777963082998
"1/03/2020","H",1.80052173938657
"1/04/2020","H",360.151275550618
"10/02/2020","H",0.152615278225035
"10/03/2020","H",14.4730601794265
"10/04/2020","H",604.945694851968
"11/02/2020","H",0.158365032418477
"11/03/2020","H",18.4061627538364
"11/04/2020","H",639.156003061872
"12/02/2020","H",0.160558102400233
"12/03/2020","H",23.7773563815225
"12/04/2020","H",665.504226008412
"13/02/2020","H",0.162204247489166
"13/03/2020","H",27.9694504103142
"14/02/2020","H",0.162482522876595
"14/03/2020","H",37.3197959394985
"15/02/2020","H",0.162482522876595
"15/03/2020","H",43.7672429354911
"16/02/2020","H",0.163839838756319
"16/03/2020","H",52.6888432993526
"17/02/2020","H",0.163839838756319
"17/03/2020","H",58.2077057376497
"18/02/2020","H",0.166293011280596
"18/03/2020","H",68.960140808586
"19/02/2020","H",0.166293011280596
"19/03/2020","H",74.3886477267479
"2/02/2020","H",0.116298570017466
"2/03/2020","H",2.50877204808078
"2/04/2020","H",391.012105706353
"20/02/2020","H",0.154472743452816
"20/03/2020","H",85.8171755149594
"21/01/2020","H",0.0030610292617225
"21/02/2020","H",0.164200254520294
"21/03/2020","H",99.9928294514828
"22/01/2020","H",0.0030610292617225
"22/02/2020","H",0.199689883408858
"22/03/2020","H",115.344592336974
"23/01/2020","H",0.0030610292617225
"23/02/2020","H",0.299546317132149
"23/03/2020","H",132.69819097314
"24/01/2020","H",0.0030610292617225
"24/02/2020","H",0.37939058894761
"24/03/2020","H",152.53881075979
"25/01/2020","H",0.0254567412771728
"25/02/2020","H",0.499921105717793
"25/03/2020","H",172.779692781376
"26/01/2020","H",0.0569988792458823
"26/02/2020","H",0.61627367468905
"26/03/2020","H",197.453074121163
"27/01/2020","H",0.0617980854210721
"27/02/2020","H",0.65855802946044
"27/03/2020","H",223.529969373354
"28/01/2020","H",0.0785512394614406
"28/02/2020","H",0.975371126915046
"28/03/2020","H",254.468350039308
"29/01/2020","H",0.0808735739776789
"29/02/2020","H",1.37224495132191
"29/03/2020","H",284.991223463285
"3/02/2020","H",0.119629255775914
"3/03/2020","H",3.12420147984048
"3/04/2020","H",411.021319065349
"30/01/2020","H",0.0998329096774903
"30/03/2020","H",312.417629310709
"31/01/2020","H",0.115972540449565
"31/03/2020","H",336.664606063662
"4/02/2020","H",0.122041632755845
"4/03/2020","H",3.78836330869786
"4/04/2020","H",442.501964854646
"5/02/2020","H",0.124990281105952
"5/03/2020","H",4.79016655727199
"5/04/2020","H",471.098255106083
"6/02/2020","H",0.128907439983785
"6/03/2020","H",5.9565243401434
"6/04/2020","H",496.419901085797
"7/02/2020","H",0.141421648568589
"7/03/2020","H",8.01500466697695
"7/04/2020","H",520.384942344204
"8/02/2020","H",0.142518183559467
"8/03/2020","H",9.64298813216972
"8/04/2020","H",547.949964836608
"9/02/2020","H",0.149304762958088
"9/03/2020","H",11.8918678596035
"9/04/2020","H",575.676830510422
"1/02/2020","L",0.548076559467236
"1/03/2020","L",3.76582168973097
"1/04/2020","L",35.8357632749492
"10/01/2020","L",0.0144033020203627
"10/02/2020","L",1.35157658903397
"10/03/2020","L",6.20177242546691
"10/04/2020","L",78.8559322571723
"11/01/2020","L",0.0144033020203627
"11/02/2020","L",1.41913777700796
"11/03/2020","L",6.19925375292884
"11/04/2020","L",84.3003945486173
"12/01/2020","L",0.0144033020203627
"12/02/2020","L",1.46980823328427
"12/03/2020","L",12.8090662126477
"12/04/2020","L",91.1896815676131
"13/01/2020","L",0.0144033020203627
"13/02/2020","L",1.54581391769874
"13/03/2020","L",12.4874181470691
"14/01/2020","L",0.0144033020203627
"14/02/2020","L",1.75302677846122
"14/03/2020","L",11.5690576170175
"15/01/2020","L",0.0144033020203627
"15/02/2020","L",1.99216351759343
"15/03/2020","L",12.5905852483262
"16/01/2020","L",0.0144033020203627
"16/02/2020","L",2.12337069394144
"16/03/2020","L",14.7556908652033
"17/01/2020","L",0.0144033020203627
"17/02/2020","L",2.21626711005359
"17/03/2020","L",14.4823550091415
"18/01/2020","L",0.0288066040407254
"18/02/2020","L",2.2669375663299
"18/03/2020","L",14.9125710453152
"19/01/2020","L",0.0432099060610881
"19/02/2020","L",2.36827847888252
"19/03/2020","L",16.0189443151213
"2/02/2020","L",0.614919603737912
"2/03/2020","L",3.94396433336843
"2/04/2020","L",38.7001453333366
"20/01/2020","L",0.0432099060610881
"20/02/2020","L",2.44428416329699
"20/03/2020","L",16.3062345670905
"21/01/2020","L",0.0432099060610881
"21/02/2020","L",2.46961939143515
"21/03/2020","L",16.6302984409038
"22/01/2020","L",0.0432099060610881
"22/02/2020","L",2.52462085381999
"22/03/2020","L",17.1773937877715
"23/01/2020","L",0.0432099060610881
"23/02/2020","L",2.63029277248115
"23/03/2020","L",17.6417417411416
"24/01/2020","L",0.110278251514089
"24/02/2020","L",2.63029277248115
"24/03/2020","L",18.9652869014192
"25/01/2020","L",0.29482649949136
"25/02/2020","L",2.41557073265353
"25/03/2020","L",20.2788653640094
"26/01/2020","L",0.228268249261547
"26/02/2020","L",3.63635287676479
"26/03/2020","L",21.5506824969874
"27/01/2020","L",0.238604660756773
"27/02/2020","L",3.74671433895916
"27/03/2020","L",24.2922688138602
"28/01/2020","L",0.293743786513818
"28/02/2020","L",3.57313084532375
"28/03/2020","L",25.9764335726949
"29/01/2020","L",0.404022038027906
"29/02/2020","L",3.87274505014649
"29/03/2020","L",27.7559079529622
"3/02/2020","L",0.615130834423635
"3/03/2020","L",3.91379352274928
"3/04/2020","L",42.9428934383757
