"date","smoke","avg"
"1/02/2020","H",1.30308260243219
"1/03/2020","H",4.18266695688733
"1/04/2020","H",231.988699663301
"10/02/2020","H",3.76526503466613
"10/03/2020","H",7.46989200655605
"10/04/2020","H",424.435351279332
"11/01/2020","H",0.0294385846502912
"11/02/2020","H",4.00011041841589
"11/03/2020","H",9.09015598922315
"11/04/2020","H",448.788242857009
"12/01/2020","H",0.0294385846502912
"12/02/2020","H",4.18460399379595
"12/03/2020","H",11.4968678889352
"12/04/2020","H",471.567084029544
"13/01/2020","H",0.0294385846502912
"13/02/2020","H",5.54452300178745
"13/03/2020","H",13.3262811310603
"14/01/2020","H",0.0294385846502912
"14/02/2020","H",5.90801772079257
"14/03/2020","H",17.6383947753552
"15/01/2020","H",0.0294385846502912
"15/02/2020","H",5.46363684827879
"15/03/2020","H",21.1264892675621
"16/01/2020","H",0.0294385846502912
"16/02/2020","H",5.62549274919895
"16/03/2020","H",27.6769669602921
"17/01/2020","H",0.032310641689344
"17/02/2020","H",5.80065708993648
"17/03/2020","H",31.5953630300375
"18/01/2020","H",0.0445168841053183
"18/02/2020","H",5.95167942257334
"18/03/2020","H",38.1570437260024
"19/01/2020","H",0.0868797254313471
"19/02/2020","H",6.09137308577838
"19/03/2020","H",41.614020946824
"2/02/2020","H",1.58664359295318
"2/03/2020","H",3.97658184950138
"2/04/2020","H",252.252810783084
"20/01/2020","H",0.142166823433113
"20/02/2020","H",6.12296571320796
"20/03/2020","H",48.5091153647025
"21/01/2020","H",0.208942149591091
"21/02/2020","H",6.19412890428671
"21/03/2020","H",58.3561253384064
"22/01/2020","H",0.318080317075097
"22/02/2020","H",5.1641609975554
"22/03/2020","H",67.474256297109
"23/01/2020","H",0.412140185104076
"23/02/2020","H",5.22540235158387
"23/03/2020","H",79.7799413897883
"24/01/2020","H",0.599541906902271
"24/02/2020","H",5.23982791080275
"24/03/2020","H",93.0125662366578
"25/01/2020","H",0.488027959471885
"25/02/2020","H",4.86508938553499
"25/03/2020","H",106.041398620553
"26/01/2020","H",0.735024864830425
"26/02/2020","H",5.04999617125256
"26/03/2020","H",121.605153558241
"27/01/2020","H",1.01361439761855
"27/02/2020","H",4.34586872305877
"27/03/2020","H",142.888109399972
"28/01/2020","H",1.64977503176874
"28/02/2020","H",3.87541116536437
"28/03/2020","H",161.201618982558
"29/01/2020","H",1.47082164186229
"29/02/2020","H",4.14797704786989
"29/03/2020","H",181.066470753003
"3/02/2020","H",1.8800650332603
"3/03/2020","H",3.98298823718255
"3/04/2020","H",274.934648232178
"30/01/2020","H",1.51946375782207
"30/03/2020","H",199.670260426963
"31/01/2020","H",1.50832651362191
"31/03/2020","H",215.832220864354
"4/02/2020","H",2.21513130063369
"4/03/2020","H",3.88710814313376
"4/04/2020","H",299.207930382034
"5/02/2020","H",2.29965888099711
"5/03/2020","H",3.88285376810408
"5/04/2020","H",320.367414120479
"6/02/2020","H",2.63147122079018
"6/03/2020","H",4.30011980754432
"6/04/2020","H",339.648694112787
"7/02/2020","H",2.91578682296687
"7/03/2020","H",4.94994946736937
"7/04/2020","H",357.498589743483
"8/02/2020","H",3.24724180077243
"8/03/2020","H",5.49580021516361
"8/04/2020","H",380.093572642081
"9/02/2020","H",3.4946848263395
"9/03/2020","H",6.54768972939935
"9/04/2020","H",399.541259895787
"1/02/2020","L",0.569026648110712
"1/03/2020","L",2.03740583429771
"1/04/2020","L",53.9797347952608
"10/02/2020","L",1.42085293754058
"10/03/2020","L",5.50315826342681
"10/04/2020","L",100.263347752602
"11/02/2020","L",1.47996846986294
"11/03/2020","L",5.51757245873433
"11/04/2020","L",110.230252140533
"12/02/2020","L",1.5390840021853
"12/03/2020","L",5.88031142818928
"12/04/2020","L",116.119555436914
"13/02/2020","L",1.62775730066885
"13/03/2020","L",6.61614278832319
"14/02/2020","L",1.8642194299583
"14/03/2020","L",6.73378844287143
"15/02/2020","L",2.13023932540894
"15/03/2020","L",7.42338689671614
"16/02/2020","L",2.27802815621484
"16/03/2020","L",8.07176373740486
"17/02/2020","L",2.36670145469839
"17/03/2020","L",7.97304014918265
"18/02/2020","L",2.43031446998193
"18/03/2020","L",8.71829888579241
"19/02/2020","L",2.54854553462665
"19/03/2020","L",10.6259968135308
"2/02/2020","L",0.648156039630292
"2/03/2020","L",2.27583876622955
"2/04/2020","L",59.8022239102518
"20/02/2020","L",2.26396611371549
"20/03/2020","L",11.1982582351124
"21/02/2020","L",2.30597707511218
"21/03/2020","L",12.4920871779393
"22/02/2020","L",2.37688866844102
"22/03/2020","L",13.1915286017786
"23/02/2020","L",2.47993172469802
"23/03/2020","L",14.5525655189585
"24/01/2020","L",0.177346596967089
"24/02/2020","L",2.50612793614149
"24/03/2020","L",18.9421947743578
"25/01/2020","L",0.532039790901268
"25/02/2020","L",2.29767477828123
"25/03/2020","L",21.5181344653834
"26/01/2020","L",0.326061473042285
"26/02/2020","L",2.16135809203459
"26/03/2020","L",27.0669065735528
"27/01/2020","L",0.235657226466873
"27/02/2020","L",2.04010202275112
"27/03/2020","L",30.6604546165976
"28/01/2020","L",0.249705469102888
"28/02/2020","L",1.90252055642636
"28/03/2020","L",36.984684421234
"29/01/2020","L",0.326041087443132
"29/02/2020","L",1.92845629311659
"29/03/2020","L",40.7056686132468
"3/02/2020","L",0.648402475430302
"3/03/2020","L",2.47236033932389
"3/04/2020","L",64.2282538609262
"30/01/2020","L",0.448460132981159
"30/03/2020","L",44.9532257599507
"31/01/2020","L",0.475855866665994
"31/03/2020","L",49.3828480866392
